
Initial statistics: 100 variables; iteration 0; function evaluation 0; phase 1
Function value 2.8962372e+04; maximum gradient component mag -7.3722e+05
 22  0.07895  5.58582e+01 | 23  0.00958  6.63089e+00 | 24  0.00148 -1.28238e+01
 25  0.00863 -1.92615e-01 | 26  0.01626  1.15902e+01 | 27  0.03804  5.87398e+01
 28  0.06243  1.03304e+02 | 29  0.06285  7.20055e+01 | 30  0.14838  6.00328e+03
 31 -0.00139 -9.84040e+00 | 32 -0.49043 -1.16464e+02 | 33 -0.58689 -5.41252e+01
 34 -0.34610 -3.56584e+01 | 35 -0.19391 -1.44088e+01 | 36 -0.13658  4.37906e+00
 37 -0.05998 -3.47956e+04 | 38  0.02222  8.34369e+02 | 39  0.17680  1.03742e+02
 40  0.03182  4.34895e+02 | 41  0.15580 -6.35261e+02 | 42  0.10322  5.58457e+02
 43  0.14706  1.01872e+03 | 44  0.05147 -1.17552e+02 | 45  0.13722  1.05271e+02
 46  0.09477 -1.76652e+02 | 47  0.14647 -3.00361e+03 | 48  0.19245 -7.02842e+03
 49 -0.07720  6.69322e+02 | 50  0.16925 -4.38448e+01 | 51  0.17427  1.10919e+03
 52 -0.29664  7.28219e+02 | 53 -0.12087  5.78238e+02 | 54  0.14855 -1.02702e+03
 55 -0.04936  6.51545e+02 | 56  0.16156  2.90477e+02 | 57  0.04366  8.65673e+01
 58  0.14881  3.58225e+03 | 59  0.19240  2.75688e+03 | 60  0.06759  3.09010e+02
 61  0.13372  3.57732e+02 | 62 -0.99732  3.47478e+00 | 63 -1.25295 -3.19029e+02
 64 -0.77631  2.64724e+02 | 65 -0.00945  6.72898e+02 | 66 -0.07662  8.20171e+02
 67  0.00365  1.05892e+03 | 68  0.07754  8.33302e+01 | 69 -0.90848 -5.80174e+02
 70 -1.12155  3.54999e+02 | 71  0.14181 -1.35016e+03 | 72 -0.18840  1.42318e+03
 73 -0.22801  1.33706e+03 | 74 -0.21617 -2.22046e+03 | 75  1.43737 -2.83102e+02
 76  0.00363  1.83675e+02 | 77  0.00755 -1.84389e+02 | 78  0.02636  3.62534e+02
 79  0.12134  2.76150e+00 | 80  0.14317  1.24617e+02 | 81 -0.01879 -1.24426e+02
 82 -0.03622 -3.52817e+02 | 83 -0.02254 -1.00626e+02 | 84  0.12277  4.36060e+02
 85 -0.00372 -5.24343e+02 | 86 -0.06666 -1.47885e+03 | 87  0.01678 -1.22024e+02
 88 -0.07576 -6.78569e+02 | 89 -0.10156  4.35894e+02 | 90 -0.09597 -2.08998e+02
 91 -0.01186 -3.64442e+02 | 92 -0.06312 -3.15424e+02 | 93  0.01593  1.32807e+02
 94 -0.04950 -3.51935e+02 | 95 -0.03301 -6.51601e+01 | 96 -0.03752  2.15005e+02
