
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 2.2987237e+05; maximum gradient component mag 3.0513e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 70 -0.69526  2.63146e+02 | 71  0.13451 -3.32629e+04 | 72  0.15436 -1.26702e+04
 73  0.15241 -9.75040e-01 | 74 -0.44220 -6.35203e+02 | 75  0.47868  3.72027e+02
 76 -0.66916  8.63637e+03 | 77 -0.24188  1.39561e+03 | 78 -0.20387  1.60264e+03
 79 -0.23947  3.63059e+02 | 80 -0.33908 -1.60713e+03 | 81 -0.42411 -4.81479e+03
 82 -0.21309 -2.45927e+03 | 83 -0.14019 -1.48009e+03 | 84  0.02917 -8.11336e+00
 85  0.11596  2.69552e+02 | 86  0.17047  1.03429e+03 | 87  0.19472  2.24902e+03
 88  0.19887  1.63215e+03 | 89  0.10776  7.28660e+02 | 90 -0.11004 -3.12199e+03
 91 -0.19824 -2.77172e+03 | 92  0.00356 -9.28497e+00 | 93  0.04675  6.92701e+02
 94  0.00109 -2.12987e+03 | 95  0.10673 -4.04464e+02 | 96  0.05237 -6.24237e+01
 97  0.22985  2.05642e+03 | 98  0.04924 -1.31769e+03 | 99  0.10651  3.37037e+02
100  0.07726  1.19325e+03 |101  0.06401  1.95961e+03 |102  0.13255  4.47326e+03
103  0.33873 -6.23127e+02 |104  0.87777 -1.39712e+04 |105 -0.90297  4.10617e+04
106  0.45761 -2.76608e+03 |107 -1.03050  1.00709e+04 |108 -0.37276 -4.85853e+02
108 variables; iteration 60; function evaluation 80; phase 1
Function value 1.1661408e+04; maximum gradient component mag 4.6563e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.43860  2.55778e+02 |  2  0.41540  3.95452e+01 |  3  0.45104  4.78499e+02
  4  0.48158  1.66451e+03 |  5  0.37287  3.03498e+02 |  6  0.33091  2.98851e+02
  7  0.30241  3.08674e+02 |  8  0.37491  2.31837e+03 |  9  0.26791  4.00663e+02
 10  0.24434  3.70663e+02 | 11  0.23333  4.03664e+02 | 12  0.22744  4.74156e+02
 13  0.21508  5.17939e+02 | 14  0.20234  5.35266e+02 | 15  0.17159  3.80012e+02
 16  0.14807  2.76524e+02 | 17  0.13738  2.41566e+02 | 18  0.13197  2.68746e+02
 19  0.13052  2.89722e+02 | 20  0.13107  3.22622e+02 | 21  0.13199  3.54792e+02
 22  0.31562  8.41701e+01 | 23  0.37534  2.66821e+02 | 24  0.42502  6.67423e+02
 25  0.30283 -1.62980e+01 | 26  0.31355 -2.41805e+01 | 27  0.41254  4.66138e+02
 28  0.40753  4.08319e+02 | 29  0.39519  2.88600e+02 | 30  0.39254  4.04998e+02
 31  0.37811  3.69392e+02 | 32  0.31825  9.15741e+01 | 33  0.29996  3.08828e+02
 34  0.26642  3.23416e+02 | 35  0.25261  4.15843e+02 | 36  0.26711  9.47505e+02
 37  0.26899  1.44101e+03 | 38  0.27457  2.33221e+03 | 39  0.25447  2.20418e+03
 40  0.24056  2.33124e+03 | 41  0.16131  5.09686e+02 | 42  0.14561  4.74386e+02
 43  0.08920  4.65633e+04 | 44  0.35542  1.01971e+04 | 45  0.21731  2.11785e+03
 46  0.23126  2.03982e+03 | 47  0.13143  1.55930e+03 | 48  0.11748  1.45858e+03
 49 -0.44623  1.11440e+03 | 50  0.08375  2.29378e+03 | 51  0.11081  3.49107e+03
 52 -0.11869  1.22876e+03 | 53  0.16186  9.38737e+02 | 54  0.01786  4.54082e+02
 55  0.19575 -6.71940e+02 | 56 -0.13630  1.36763e+03 | 57  0.19329  2.05172e+03
 58  0.11482  2.89859e+02 | 59  0.08840  1.12273e+03 | 60  0.18830  4.94798e+03
 61 -0.39471  1.18678e+03 | 62  0.16707  1.98890e+03 | 63  0.16144  2.96544e+03
 64  0.16998  4.04031e+03 | 65  0.18250  4.60179e+03 | 66  0.21753  3.02856e+03
 67 -0.24786  1.30638e+03 | 68 -1.14755 -3.34670e+02 | 69 -0.99546  1.02418e+01
 70 -0.17586  1.40387e+03 | 71  0.14250 -1.91364e+04 | 72  0.12425 -1.13701e+04
 73  1.28319 -1.03218e+02 | 74 -0.22483 -3.22187e+02 | 75  0.32564  3.98735e+02
 76 -0.59295  5.49260e+03 | 77 -0.21824  7.62747e+02 | 78 -0.19458  1.20917e+03
 79 -0.21418  3.18091e+02 | 80 -0.31144 -1.54972e+03 | 81 -0.33698 -3.39158e+03
 82 -0.16980 -1.87891e+03 | 83 -0.12171 -1.45258e+03 | 84  0.03679  1.51364e+02
 85  0.10359  1.66755e+02 | 86  0.14257  6.60108e+02 | 87  0.15842  1.39781e+03
 88  0.19450  2.06476e+03 | 89  0.08828  1.07773e+02 | 90 -0.08152 -2.15834e+03
 91 -0.14642 -1.85179e+03 | 92  0.00799 -8.05310e+02 | 93  0.03961  6.04763e+00
 94 -0.00074 -2.08816e+03 | 95  0.07031 -7.73169e+02 | 96  0.01971 -3.90611e+02
 97  0.20207  1.90829e+03 | 98  0.02708 -1.87882e+03 | 99  0.10270  3.15631e+02
100  0.04808  2.04212e+02 |101  0.01016 -1.06811e+02 |102  0.11891  3.91199e+03
103  0.26567 -5.20198e+02 |104  0.86654 -1.07056e+04 |105 -0.90166  4.28282e+04
